,address,type,datetime,latitude,longitude,report_location,incident_number
7215,207 Pontius Ave N,Aid Response,2026-01-18T12:17:00.000,47.619736,-122.331697,"{'type': 'Point', 'coordinates': [-122.331697, 47.619736]}",F260008398
7216,Melrose Ave / Olive Way,Illegal Burn,2026-01-18T12:14:00.000,47.616642,-122.327881,"{'type': 'Point', 'coordinates': [-122.327881, 47.616642]}",F260008397
7217,6th Ave S / S Main St,Medic Response,2026-01-18T12:12:00.000,47.600032,-122.326357,"{'type': 'Point', 'coordinates': [-122.326357, 47.600032]}",F260008396
7218,24th Ave Nw / Nw 57th St,Crisis Center,2026-01-18T12:10:00.000,47.670187,-122.387587,"{'type': 'Point', 'coordinates': [-122.387587, 47.670187]}",F260008394
7219,3rd Ave / Spring St,MVI - Motor Vehicle Incident,2026-01-18T12:09:00.000,47.606337,-122.334672,"{'type': 'Point', 'coordinates': [-122.334672, 47.606337]}",F260008393
7220,1511 Dexter Ave N,Rescue Elevator,2026-01-18T12:06:00.000,47.632618,-122.342281,"{'type': 'Point', 'coordinates': [-122.342281, 47.632618]}",F260008391
7221,747 N 135th St,Medic Response,2026-01-18T12:04:00.000,47.726803,-122.347793,"{'type': 'Point', 'coordinates': [-122.347793, 47.726803]}",F260008389
7222,1000 8th Ave,Aid Response,2026-01-18T12:03:00.000,47.607945,-122.328471,"{'type': 'Point', 'coordinates': [-122.328471, 47.607945]}",F260008390
7223,8500 15th Ave Nw,Aid Response,2026-01-18T12:03:00.000,47.690609,-122.376806,"{'type': 'Point', 'coordinates': [-122.376806, 47.690609]}",F260008388
7224,1st Ave / Bell St,Aid Response,2026-01-18T11:56:00.000,47.613375,-122.346513,"{'type': 'Point', 'coordinates': [-122.346513, 47.613375]}",F260008386
7225,210 Alaskan Way S,Medic Response,2026-01-18T11:49:00.000,47.600593,-122.335915,"{'type': 'Point', 'coordinates': [-122.335915, 47.600593]}",F260008385
7226,10501 8th Ave Ne,Medic Response,2026-01-18T11:47:00.000,47.704938,-122.320485,"{'type': 'Point', 'coordinates': [-122.320485, 47.704938]}",F260008384
7227,7403 Rockery Dr S,Medic Response,2026-01-18T11:45:00.000,47.536132,-122.282372,"{'type': 'Point', 'coordinates': [-122.282372, 47.536132]}",F260008383
7228,1407 2nd Ave W,Auto Fire Alarm,2026-01-18T11:44:00.000,47.631378,-122.359203,"{'type': 'Point', 'coordinates': [-122.359203, 47.631378]}",F260008382
7229,4715 25th Ave Ne,Medic Response,2026-01-18T11:41:00.000,47.663345,-122.300889,"{'type': 'Point', 'coordinates': [-122.300889, 47.663345]}",F260008381
7230,8522 Burke Ave N,Aid Response,2026-01-18T11:36:00.000,47.690618,-122.335044,"{'type': 'Point', 'coordinates': [-122.335044, 47.690618]}",F260008380
7231,1107 E HOWELL ST,Aid Response,2026-01-18T11:20:00.000,47.617592,-122.318104,"{'type': 'Point', 'coordinates': [-122.318104, 47.617592]}",F260008379
7232,1520 California Ave Sw,Low Acuity Response,2026-01-18T11:18:00.000,47.590336,-122.386193,"{'type': 'Point', 'coordinates': [-122.386193, 47.590336]}",F260008378
7233,1128 13th Ave,Alarm Bell,2026-01-18T11:15:00.000,47.611679,-122.315437,"{'type': 'Point', 'coordinates': [-122.315437, 47.611679]}",F260008377
7234,308 4th Ave S,3RED - 1 +1 + 1,2026-01-18T11:11:00.000,47.599968,-122.328965,"{'type': 'Point', 'coordinates': [-122.328965, 47.599968]}",F260008375
7235,4th Ave / Union St,MVI - Motor Vehicle Incident,2026-01-18T11:00:00.000,47.609221,-122.335775,"{'type': 'Point', 'coordinates': [-122.335775, 47.609221]}",F260008374
7236,8124 Rainier Ave S,Alarm Bell,2026-01-18T10:50:00.000,47.53025,-122.269989,"{'type': 'Point', 'coordinates': [-122.269989, 47.53025]}",F260008372
7237,GOLF DR S / S CHARLES ST,Rubbish Fire,2026-01-18T10:41:00.000,47.594282,-122.316577,"{'type': 'Point', 'coordinates': [-122.316577, 47.594282]}",F260008371
7238,4500 40th Ave Ne,Medic Response,2026-01-18T10:29:00.000,47.661266,-122.284754,"{'type': 'Point', 'coordinates': [-122.284754, 47.661266]}",F260008370
7239,1st Ave / Wall St,Aid Response,2026-01-18T10:27:00.000,47.614696,-122.348746,"{'type': 'Point', 'coordinates': [-122.348746, 47.614696]}",F260008369
7240,4527 45th Ave Sw,Aid Response,2026-01-18T10:23:00.000,47.562703,-122.389482,"{'type': 'Point', 'coordinates': [-122.389482, 47.562703]}",F260008368
7241,7701 2nd Ave Ne,Medic Response,2026-01-18T10:20:00.000,47.685029,-122.326962,"{'type': 'Point', 'coordinates': [-122.326962, 47.685029]}",F260008367
7242,4th Ave S / Prefontaine Pl S,Medic Response- 7 per Rule,2026-01-18T10:14:00.000,47.600875,-122.328963,"{'type': 'Point', 'coordinates': [-122.328963, 47.600875]}",F260008366
7243,3701 59th Ave Sw,Aid Response,2026-01-18T10:10:00.000,47.571182,-122.408477,"{'type': 'Point', 'coordinates': [-122.408477, 47.571182]}",F260008365
7244,1700 E Union St,Aid Response,2026-01-18T10:09:00.000,47.612905,-122.310168,"{'type': 'Point', 'coordinates': [-122.310168, 47.612905]}",F260008364
7245,1630 43rd Ave E,Aid Response,2026-01-18T10:08:00.000,47.633523,-122.277157,"{'type': 'Point', 'coordinates': [-122.277157, 47.633523]}",F260008363
